date,region,country,product,channel,revenue,cost,cost_driver
2024-01-02,Europe,Spain,Cloud Platform,Online,16846.02,9064.81,Shipping
2024-01-02,Europe,Spain,Security Module,Online,12487.59,7761.07,Material
2024-01-02,North America,United States,Analytics Suite,Partner,16044.79,10019.59,Material
2024-01-02,North America,United States,Cloud Platform,Online,14895.22,9084.78,Shipping
2024-01-02,North America,United States,Security Module,Direct,19456.36,11473.78,Labor
2024-01-02,North America,Canada,Analytics Suite,Partner,19717.35,10344.08,Material
2024-01-02,North America,Canada,Cloud Platform,Direct,19150.08,10755.63,Material
2024-01-02,North America,Canada,Security Module,Partner,19484.92,12353.84,Material
2024-01-02,North America,Mexico,Analytics Suite,Direct,26379.43,14882.97,Material
2024-01-02,North America,Mexico,Cloud Platform,Online,15385.25,9568.92,Labor
2024-01-02,North America,Mexico,Security Module,Direct,19772.38,13303.79,Shipping
2024-01-02,Asia-Pacific,India,Analytics Suite,Online,17681.92,9839.51,Material
2024-01-02,Asia-Pacific,India,Cloud Platform,Online,17836.82,10137.2,Material
2024-01-02,Asia-Pacific,India,Security Module,Online,19418.39,10627.51,Material
2024-01-02,Asia-Pacific,Japan,Analytics Suite,Direct,15551.88,9667.05,Material
2024-01-02,Asia-Pacific,Japan,Cloud Platform,Direct,21796.75,13592.72,Material
2024-01-02,Asia-Pacific,Japan,Security Module,Online,18686.33,10558.77,Shipping
2024-01-02,Asia-Pacific,Australia,Analytics Suite,Partner,17966.18,10612.38,Labor
2024-01-02,Asia-Pacific,Australia,Cloud Platform,Direct,18312.53,12078.25,Shipping
2024-01-02,Asia-Pacific,Australia,Security Module,Direct,16542.99,10342.85,Shipping
2024-01-02,Asia-Pacific,Singapore,Analytics Suite,Direct,16673.52,9984.11,Material
2024-01-02,Asia-Pacific,Singapore,Cloud Platform,Direct,18701.69,11696.59,Material
2024-01-02,Asia-Pacific,Singapore,Security Module,Online,14071.54,7786.61,Shipping
2024-01-03,Europe,Germany,Analytics Suite,Partner,20778.54,12737.61,Material
2024-01-03,Europe,Germany,Cloud Platform,Direct,18086.92,10143.07,Material
2024-01-03,Europe,Germany,Security Module,Partner,18149.97,11658.03,Material
2024-01-03,Europe,France,Analytics Suite,Online,18531.99,12579.53,Material
2024-01-03,Europe,France,Cloud Platform,Direct,25017.43,14668.17,Material
2024-01-03,Europe,France,Security Module,Online,22166.74,13472.38,Material
2024-01-03,Europe,United Kingdom,Analytics Suite,Partner,19730.98,12338.91,Labor
2024-01-03,Europe,United Kingdom,Cloud Platform,Online,17179.03,10823.15,Shipping
2024-01-03,Europe,United Kingdom,Security Module,Direct,18887.08,10286.02,Material
2024-01-03,Europe,Spain,Analytics Suite,Direct,19050.97,11313.13,Material
2024-01-03,Europe,Spain,Cloud Platform,Online,18170.88,10350.32,Labor
2024-01-03,Europe,Spain,Security Module,Direct,16600.86,10991.27,Shipping
2024-01-03,North America,United States,Analytics Suite,Online,22217.52,11189.13,Shipping
2024-01-03,North America,United States,Cloud Platform,Partner,18757.95,11601.85,Material
2024-01-03,North America,United States,Security Module,Partner,17497.55,11312.09,Shipping
2024-01-03,North America,Canada,Analytics Suite,Direct,19829.15,12321.38,Material
2024-01-03,North America,Canada,Cloud Platform,Direct,17005.08,11096.86,Shipping
2024-01-03,North America,Canada,Security Module,Partner,19513.38,12241.99,Shipping
2024-01-03,North America,Mexico,Analytics Suite,Online,17571.83,10779.74,Material
2024-01-03,North America,Mexico,Cloud Platform,Partner,24315.55,12847.76,Material
2024-01-03,North America,Mexico,Security Module,Online,19432.6,11517.67,Shipping
2024-01-03,Asia-Pacific,India,Analytics Suite,Direct,15371.32,8256.83,Material
2024-01-03,Asia-Pacific,India,Cloud Platform,Partner,15806.14,9761.47,Material
2024-01-03,Asia-Pacific,India,Security Module,Partner,17550.08,10501.27,Material
2024-01-03,Asia-Pacific,Japan,Analytics Suite,Online,19124.62,12662.76,Material
2024-01-03,Asia-Pacific,Japan,Cloud Platform,Partner,16317.45,9649.1,Material
2024-01-03,Asia-Pacific,Japan,Security Module,Partner,20363.64,11899.9,Material
2024-01-03,Asia-Pacific,Australia,Analytics Suite,Partner,21119.53,12772.68,Labor
2024-01-03,Asia-Pacific,Australia,Cloud Platform,Partner,22318.81,12020.74,Labor
2024-01-03,Asia-Pacific,Australia,Security Module,Partner,25277.16,15599.25,Shipping
2024-01-03,Asia-Pacific,Singapore,Analytics Suite,Online,17667.49,9845.67,Material
2024-01-03,Asia-Pacific,Singapore,Cloud Platform,Partner,16572.56,10877.18,Labor
2024-01-03,Asia-Pacific,Singapore,Security Module,Direct,22240.2,12112.2,Shipping
2024-01-04,Europe,Germany,Analytics Suite,Direct,19223.04,10511.71,Labor
2024-01-04,Europe,Germany,Cloud Platform,Online,19766.54,10875.96,Material
2024-01-04,Europe,Germany,Security Module,Partner,16297.62,9668.35,Shipping
2024-01-04,Europe,France,Analytics Suite,Online,17790.54,10350.06,Material
2024-01-04,Europe,France,Cloud Platform,Partner,19578.11,12246.02,Material
2024-01-04,Europe,France,Security Module,Partner,17640.17,10763.4,Material
2024-01-04,Europe,United Kingdom,Analytics Suite,Partner,16011.37,9810.89,Material
2024-01-04,Europe,United Kingdom,Cloud Platform,Online,21020.52,11693.66,Material
2024-01-04,Europe,United Kingdom,Security Module,Partner,14445.24,7794.58,Shipping
2024-01-04,Europe,Spain,Analytics Suite,Partner,14426.5,8892.09,Shipping
2024-01-04,Europe,Spain,Cloud Platform,Online,15262.23,9417.63,Shipping
2024-01-04,Europe,Spain,Security Module,Direct,15205.48,9621.2,Material
2024-01-04,North America,United States,Analytics Suite,Online,23599.64,13763.78,Material
2024-01-04,North America,United States,Cloud Platform,Direct,17313.9,10665.38,Material
2024-01-04,North America,United States,Security Module,Online,16882.89,9622.12,Labor
2024-01-04,North America,Canada,Analytics Suite,Partner,20636.19,10503.43,Shipping
2024-01-04,North America,Canada,Cloud Platform,Direct,14513.54,9487.0,Labor
2024-01-04,North America,Canada,Security Module,Partner,19176.6,11357.44,Material
2024-01-04,North America,Mexico,Analytics Suite,Direct,16764.94,9401.44,Shipping
2024-01-04,North America,Mexico,Cloud Platform,Online,15586.36,9934.13,Shipping
2024-01-04,North America,Mexico,Security Module,Direct,17630.64,10083.52,Material
2024-01-04,Asia-Pacific,India,Analytics Suite,Partner,19968.62,13181.97,Material
2024-01-04,Asia-Pacific,India,Cloud Platform,Direct,18102.39,11574.58,Shipping
2024-01-04,Asia-Pacific,India,Security Module,Direct,18960.29,11554.53,Material
2024-01-04,Asia-Pacific,Japan,Analytics Suite,Partner,20144.33,11019.67,Material
2024-01-04,Asia-Pacific,Japan,Cloud Platform,Online,17593.38,11497.1,Labor
2024-01-04,Asia-Pacific,Japan,Security Module,Direct,13724.17,8218.73,Shipping
2024-01-04,Asia-Pacific,Australia,Analytics Suite,Direct,20697.56,11958.83,Material
2024-01-04,Asia-Pacific,Australia,Cloud Platform,Direct,25171.29,15875.45,Material
2024-01-04,Asia-Pacific,Australia,Security Module,Online,20250.24,13543.85,Shipping
2024-01-04,Asia-Pacific,Singapore,Analytics Suite,Online,17158.51,9977.78,Labor
2024-01-04,Asia-Pacific,Singapore,Cloud Platform,Online,19379.42,11298.86,Material
2024-01-04,Asia-Pacific,Singapore,Security Module,Direct,12003.0,6539.54,Material
2024-01-05,Europe,Germany,Analytics Suite,Online,17813.83,9225.11,Material
2024-01-05,Europe,Germany,Cloud Platform,Online,20063.94,10924.99,Material
2024-01-05,Europe,Germany,Security Module,Direct,15601.78,8424.7,Material
2024-01-05,Europe,France,Analytics Suite,Direct,17517.33,10494.47,Material
2024-01-05,Europe,France,Cloud Platform,Direct,14309.41,8326.15,Material
2024-01-05,Europe,France,Security Module,Online,15365.3,8651.06,Material
2024-01-05,Europe,United Kingdom,Analytics Suite,Direct,19278.8,9525.7,Shipping
2024-01-05,Europe,United Kingdom,Cloud Platform,Direct,21304.89,13279.32,Material
2024-01-05,Europe,United Kingdom,Security Module,Online,21106.35,12622.71,Material
2024-01-05,Europe,Spain,Analytics Suite,Online,17662.06,10963.37,Material
2024-01-05,Europe,Spain,Cloud Platform,Direct,15921.62,9486.69,Material
2024-01-05,Europe,Spain,Security Module,Direct,20572.04,10499.76,Material
2024-01-05,North America,United States,Analytics Suite,Online,16942.66,10831.76,Labor
2024-01-05,North America,United States,Cloud Platform,Direct,22281.75,12094.79,Material
2024-01-05,North America,United States,Security Module,Partner,18669.08,10835.77,Shipping
2024-01-05,North America,Canada,Analytics Suite,Online,18532.05,12133.4,Shipping
2024-01-05,North America,Canada,Cloud Platform,Partner,18077.05,9732.89,Labor
2024-01-05,North America,Canada,Security Module,Partner,18156.48,11000.68,Material
2024-01-05,North America,Mexico,Analytics Suite,Partner,16133.87,9676.8,Shipping
2024-01-05,North America,Mexico,Cloud Platform,Online,18129.76,11501.03,Material
2024-01-05,North America,Mexico,Security Module,Online,16881.9,9490.07,Material
2024-01-05,Asia-Pacific,India,Analytics Suite,Online,19183.49,10806.77,Material
2024-01-05,Asia-Pacific,India,Cloud Platform,Partner,15246.18,9508.91,Material
2024-01-05,Asia-Pacific,India,Security Module,Partner,21899.73,13890.72,Material
2024-01-05,Asia-Pacific,Japan,Analytics Suite,Direct,17436.54,10818.24,Shipping
2024-01-05,Asia-Pacific,Japan,Cloud Platform,Direct,17559.37,11303.14,Labor
2024-01-05,Asia-Pacific,Japan,Security Module,Partner,18866.96,11005.04,Shipping
2024-01-05,Asia-Pacific,Australia,Analytics Suite,Partner,17486.87,9813.65,Material
2024-01-05,Asia-Pacific,Australia,Cloud Platform,Direct,18539.16,10339.84,Material
2024-01-05,Asia-Pacific,Australia,Security Module,Online,14461.56,9037.02,Material
2024-01-05,Asia-Pacific,Singapore,Analytics Suite,Direct,14741.91,8489.46,Material
2024-01-05,Asia-Pacific,Singapore,Cloud Platform,Direct,20527.99,11939.57,Material
2024-01-05,Asia-Pacific,Singapore,Security Module,Direct,17881.29,11858.54,Labor
2024-01-06,Europe,Germany,Analytics Suite,Online,15218.48,7818.0,Shipping
2024-01-06,Europe,Germany,Cloud Platform,Partner,11495.24,7289.44,Material
2024-01-06,Europe,Germany,Security Module,Direct,17627.11,11358.11,Material
2024-01-06,Europe,France,Analytics Suite,Direct,14200.2,8696.6,Labor
2024-01-06,Europe,France,Cloud Platform,Direct,24268.83,14355.22,Labor
2024-01-06,Europe,France,Security Module,Online,16395.08,9231.48,Labor
2024-01-06,Europe,United Kingdom,Analytics Suite,Online,22521.64,12672.42,Material
2024-01-06,Europe,United Kingdom,Cloud Platform,Direct,16072.39,10390.8,Material
2024-01-06,Europe,United Kingdom,Security Module,Partner,19658.62,10594.06,Labor
2024-01-06,Europe,Spain,Analytics Suite,Online,21762.86,13458.16,Material
2024-01-06,Europe,Spain,Cloud Platform,Direct,21132.81,11965.36,Shipping
2024-01-06,Europe,Spain,Security Module,Online,21860.86,12311.87,Labor
2024-01-06,North America,United States,Analytics Suite,Online,8284.44,4898.5,Material
2024-01-06,North America,United States,Cloud Platform,Direct,16506.11,9891.62,Shipping
2024-01-06,North America,United States,Security Module,Online,23027.25,14668.32,Material
2024-01-06,North America,Canada,Analytics Suite,Online,14678.72,7916.37,Material
2024-01-06,North America,Canada,Cloud Platform,Direct,18202.69,10807.91,Shipping
2024-01-06,North America,Canada,Security Module,Partner,21593.1,13179.22,Material
2024-01-06,North America,Mexico,Analytics Suite,Online,19142.55,11504.39,Material
2024-01-06,North America,Mexico,Cloud Platform,Online,19426.91,12556.68,Material
2024-01-06,North America,Mexico,Security Module,Partner,22641.97,13248.55,Shipping
2024-01-06,Asia-Pacific,India,Analytics Suite,Direct,20647.1,12604.57,Material
2024-01-06,Asia-Pacific,India,Cloud Platform,Partner,17339.48,9312.28,Shipping
2024-01-06,Asia-Pacific,India,Security Module,Online,17450.44,9895.62,Shipping
2024-01-06,Asia-Pacific,Japan,Analytics Suite,Direct,13865.73,7660.83,Material
2024-01-06,Asia-Pacific,Japan,Cloud Platform,Online,17556.87,10594.8,Material
2024-01-06,Asia-Pacific,Japan,Security Module,Direct,12597.73,7901.33,Shipping
2024-01-06,Asia-Pacific,Australia,Analytics Suite,Partner,21427.49,13771.86,Material
2024-01-06,Asia-Pacific,Australia,Cloud Platform,Direct,18496.1,11538.16,Labor
2024-01-06,Asia-Pacific,Australia,Security Module,Online,15826.58,9524.06,Material
2024-01-06,Asia-Pacific,Singapore,Analytics Suite,Partner,16994.54,11584.83,Shipping
2024-01-06,Asia-Pacific,Singapore,Cloud Platform,Online,17928.61,10980.96,Shipping
2024-01-06,Asia-Pacific,Singapore,Security Module,Direct,19651.28,11113.54,Material
2024-01-07,Europe,Germany,Analytics Suite,Direct,17221.88,9929.61,Shipping
2024-01-07,Europe,Germany,Cloud Platform,Partner,22546.35,12338.16,Material
2024-01-07,Europe,Germany,Security Module,Partner,14040.18,7495.56,Labor
2024-01-07,Europe,France,Analytics Suite,Partner,22518.84,12220.71,Material
2024-01-07,Europe,France,Cloud Platform,Partner,18809.11,11342.04,Material
2024-01-07,Europe,France,Security Module,Direct,16830.95,10273.74,Labor
2024-01-07,Europe,United Kingdom,Analytics Suite,Direct,21933.62,12980.1,Material
2024-01-07,Europe,United Kingdom,Cloud Platform,Direct,20219.48,11053.54,Shipping
2024-01-07,Europe,United Kingdom,Security Module,Direct,14703.72,8916.57,Labor
2024-01-07,Europe,Spain,Analytics Suite,Online,15273.7,9632.85,Material
2024-01-07,Europe,Spain,Cloud Platform,Direct,17488.44,9454.31,Material
2024-01-07,Europe,Spain,Security Module,Direct,17839.68,10204.42,Material
2024-01-07,North America,United States,Analytics Suite,Partner,17817.09,11541.98,Material
2024-01-07,North America,United States,Cloud Platform,Online,18038.17,11082.05,Material
2024-01-07,North America,United States,Security Module,Partner,18510.63,10397.3,Shipping
2024-01-07,North America,Canada,Analytics Suite,Direct,20432.29,10414.27,Labor
2024-01-07,North America,Canada,Cloud Platform,Direct,19015.36,11912.82,Material
2024-01-07,North America,Canada,Security Module,Partner,18503.75,11869.59,Material
2024-01-07,North America,Mexico,Analytics Suite,Online,17482.87,10262.04,Labor
2024-01-07,North America,Mexico,Cloud Platform,Partner,23544.88,12283.81,Material
2024-01-07,North America,Mexico,Security Module,Partner,18172.74,11211.43,Material
2024-01-07,Asia-Pacific,India,Analytics Suite,Partner,19525.39,11420.84,Shipping
2024-01-07,Asia-Pacific,India,Cloud Platform,Online,20272.0,11078.93,Material
2024-01-07,Asia-Pacific,India,Security Module,Partner,18105.23,11074.86,Material
2024-01-07,Asia-Pacific,Japan,Analytics Suite,Direct,23914.62,14135.41,Material
2024-01-07,Asia-Pacific,Japan,Cloud Platform,Direct,14796.88,8003.98,Labor
2024-01-07,Asia-Pacific,Japan,Security Module,Partner,16612.21,8984.45,Shipping
2024-01-07,Asia-Pacific,Australia,Analytics Suite,Direct,17130.58,10802.66,Material
2024-01-07,Asia-Pacific,Australia,Cloud Platform,Online,13430.27,8063.77,Labor
2024-01-07,Asia-Pacific,Australia,Security Module,Online,19650.75,11916.1,Material
2024-01-07,Asia-Pacific,Singapore,Analytics Suite,Online,16885.39,10068.39,Material
2024-01-07,Asia-Pacific,Singapore,Cloud Platform,Online,18742.22,10542.89,Material
2024-01-07,Asia-Pacific,Singapore,Security Module,Partner,20230.93,11686.54,Material
2024-01-08,Europe,Germany,Analytics Suite,Partner,21425.64,14031.39,Material
2024-01-08,Europe,Germany,Cloud Platform,Direct,14133.73,8294.94,Shipping
2024-01-08,Europe,Germany,Security Module,Partner,16740.24,9089.4,Material
2024-01-08,Europe,France,Analytics Suite,Online,21298.14,12045.0,Material
2024-01-08,Europe,France,Cloud Platform,Online,16159.04,10482.87,Material
2024-01-08,Europe,France,Security Module,Online,22558.17,13747.42,Material
2024-01-08,Europe,United Kingdom,Analytics Suite,Direct,23036.2,13417.81,Labor
2024-01-08,Europe,United Kingdom,Cloud Platform,Online,12860.51,7383.26,Labor
2024-01-08,Europe,United Kingdom,Security Module,Direct,24109.83,13558.49,Shipping
2024-01-08,Europe,Spain,Analytics Suite,Online,12538.25,8142.19,Material
2024-01-08,Europe,Spain,Cloud Platform,Online,15797.02,9420.53,Labor
2024-01-08,Europe,Spain,Security Module,Online,20610.79,13021.91,Material
2024-01-08,North America,United States,Analytics Suite,Partner,17526.93,10337.17,Material
2024-01-08,North America,United States,Cloud Platform,Partner,20083.29,12051.96,Shipping
2024-01-08,North America,United States,Security Module,Partner,16370.58,9929.74,Material
2024-01-08,North America,Canada,Analytics Suite,Partner,21208.91,11738.33,Material
2024-01-08,North America,Canada,Cloud Platform,Direct,15490.66,10031.28,Labor
2024-01-08,North America,Canada,Security Module,Partner,19811.95,12590.6,Material
2024-01-08,North America,Mexico,Analytics Suite,Partner,19729.17,12835.7,Material
2024-01-08,North America,Mexico,Cloud Platform,Direct,16449.6,9327.96,Labor
2024-01-08,North America,Mexico,Security Module,Online,19487.36,11788.1,Labor
2024-01-08,Asia-Pacific,India,Analytics Suite,Direct,17351.05,9546.74,Material
2024-01-08,Asia-Pacific,India,Cloud Platform,Online,17436.88,9976.06,Labor
2024-01-08,Asia-Pacific,India,Security Module,Partner,21186.85,14239.37,Material
2024-01-08,Asia-Pacific,Japan,Analytics Suite,Online,19520.7,12124.55,Labor
2024-01-08,Asia-Pacific,Japan,Cloud Platform,Direct,21932.89,12696.04,Material
2024-01-08,Asia-Pacific,Japan,Security Module,Partner,21996.52,12346.65,Labor
2024-01-08,Asia-Pacific,Australia,Analytics Suite,Direct,22636.7,11438.74,Material
2024-01-08,Asia-Pacific,Australia,Cloud Platform,Online,17989.0,11628.65,Material
2024-01-08,Asia-Pacific,Australia,Security Module,Partner,17928.61,9540.79,Material
2024-01-08,Asia-Pacific,Singapore,Analytics Suite,Online,18475.37,10813.44,Labor
2024-01-08,Asia-Pacific,Singapore,Cloud Platform,Partner,22030.62,11759.52,Labor
2024-01-08,Asia-Pacific,Singapore,Security Module,Partner,18578.46,11155.89,Material
2024-01-09,Europe,Germany,Analytics Suite,Online,19007.68,11159.21,Material
2024-01-09,Europe,Germany,Cloud Platform,Online,17741.4,9493.21,Material
2024-01-09,Europe,Germany,Security Module,Partner,18266.34,11188.73,Material
2024-01-09,Europe,France,Analytics Suite,Partner,19509.66,11534.7,Material
2024-01-09,Europe,France,Cloud Platform,Online,25012.18,15238.41,Labor
2024-01-09,Europe,France,Security Module,Direct,18205.37,11326.33,Labor
2024-01-09,Europe,United Kingdom,Analytics Suite,Online,18754.08,11155.5,Material
2024-01-09,Europe,United Kingdom,Cloud Platform,Online,19787.18,12579.75,Material
2024-01-09,Europe,United Kingdom,Security Module,Partner,14504.02,8329.73,Shipping
2024-01-09,Europe,Spain,Analytics Suite,Partner,17965.87,10263.27,Material
2024-01-09,Europe,Spain,Cloud Platform,Online,23276.39,13823.05,Shipping
2024-01-09,Europe,Spain,Security Module,Online,16233.44,8982.26,Material
2024-01-09,North America,United States,Analytics Suite,Direct,16774.38,9528.58,Material
2024-01-09,North America,United States,Cloud Platform,Direct,19403.83,12236.02,Labor
2024-01-09,North America,United States,Security Module,Partner,16751.11,9292.03,Material
2024-01-09,North America,Canada,Analytics Suite,Partner,18379.23,9844.03,Material
2024-01-09,North America,Canada,Cloud Platform,Direct,21007.69,12118.84,Material
2024-01-09,North America,Canada,Security Module,Online,17617.51,11688.48,Labor
2024-01-09,North America,Mexico,Analytics Suite,Online,17972.52,10633.81,Material
2024-01-09,North America,Mexico,Cloud Platform,Direct,20228.39,11893.4,Labor
2024-01-09,North America,Mexico,Security Module,Online,24124.52,14498.07,Labor
2024-01-09,Asia-Pacific,India,Analytics Suite,Online,17769.48,9801.99,Shipping
2024-01-09,Asia-Pacific,India,Cloud Platform,Direct,17837.36,10089.92,Material
2024-01-09,Asia-Pacific,India,Security Module,Direct,16471.84,10692.69,Shipping
2024-01-09,Asia-Pacific,Japan,Analytics Suite,Online,16459.89,9252.9,Material
2024-01-09,Asia-Pacific,Japan,Cloud Platform,Online,16213.59,9600.64,Labor
2024-01-09,Asia-Pacific,Japan,Security Module,Online,18953.77,10692.36,Shipping
2024-01-09,Asia-Pacific,Australia,Analytics Suite,Online,18463.77,10645.39,Shipping
2024-01-09,Asia-Pacific,Australia,Cloud Platform,Online,12300.28,6488.14,Material
2024-01-09,Asia-Pacific,Australia,Security Module,Online,18165.77,10687.48,Material
2024-01-09,Asia-Pacific,Singapore,Analytics Suite,Online,17224.52,10647.95,Labor
2024-01-09,Asia-Pacific,Singapore,Cloud Platform,Online,19767.11,11672.26,Shipping
2024-01-09,Asia-Pacific,Singapore,Security Module,Direct,18346.18,9721.76,Material
2024-01-10,Europe,Germany,Analytics Suite,Direct,19922.62,13193.27,Material
2024-01-10,Europe,Germany,Cloud Platform,Partner,17793.35,10145.82,Material
2024-01-10,Europe,Germany,Security Module,Partner,13524.44,7191.53,Shipping
2024-01-10,Europe,France,Analytics Suite,Direct,20633.19,12528.41,Material
2024-01-10,Europe,France,Cloud Platform,Online,19550.17,12164.61,Shipping
2024-01-10,Europe,France,Security Module,Online,18452.29,12143.4,Labor
2024-01-10,Europe,United Kingdom,Analytics Suite,Partner,17929.41,11630.25,Material
2024-01-10,Europe,United Kingdom,Cloud Platform,Partner,20315.5,11464.51,Material
2024-01-10,Europe,United Kingdom,Security Module,Partner,16556.41,10435.68,Shipping
2024-01-10,Europe,Spain,Analytics Suite,Direct,17837.95,10777.77,Labor
2024-01-10,Europe,Spain,Cloud Platform,Online,25183.47,14655.13,Labor
2024-01-10,Europe,Spain,Security Module,Partner,16550.61,9778.31,Material
2024-01-10,North America,United States,Analytics Suite,Online,14025.45,8873.12,Material
2024-01-10,North America,United States,Cloud Platform,Partner,21267.89,12698.86,Shipping
2024-01-10,North America,United States,Security Module,Direct,16994.13,9410.83,Labor
2024-01-10,North America,Canada,Analytics Suite,Partner,19194.25,11121.25,Material
2024-01-10,North America,Canada,Cloud Platform,Online,14630.54,9081.25,Material
2024-01-10,North America,Canada,Security Module,Partner,17195.85,8942.63,Shipping
2024-01-10,North America,Mexico,Analytics Suite,Online,18895.97,11618.46,Material
2024-01-10,North America,Mexico,Cloud Platform,Direct,19227.46,11577.67,Shipping
2024-01-10,North America,Mexico,Security Module,Partner,18183.13,12486.75,Material
2024-01-10,Asia-Pacific,India,Analytics Suite,Partner,20197.62,10377.21,Labor
2024-01-10,Asia-Pacific,India,Cloud Platform,Direct,21656.59,12511.1,Shipping
2024-01-10,Asia-Pacific,India,Security Module,Online,18605.07,11867.3,Material
2024-01-10,Asia-Pacific,Japan,Analytics Suite,Online,21060.95,12315.23,Material
2024-01-10,Asia-Pacific,Japan,Cloud Platform,Online,17411.83,10011.3,Labor
2024-01-10,Asia-Pacific,Japan,Security Module,Online,16884.41,9927.35,Shipping
2024-01-10,Asia-Pacific,Australia,Analytics Suite,Partner,16766.95,9406.63,Shipping
2024-01-10,Asia-Pacific,Australia,Cloud Platform,Partner,24849.4,14712.63,Shipping
2024-01-10,Asia-Pacific,Australia,Security Module,Partner,16735.77,9016.55,Material
2024-01-10,Asia-Pacific,Singapore,Analytics Suite,Direct,15930.29,9849.69,Material
2024-01-10,Asia-Pacific,Singapore,Cloud Platform,Online,18701.65,11116.08,Material
2024-01-10,Asia-Pacific,Singapore,Security Module,Online,19089.87,11239.38,Material
2024-01-11,Europe,Germany,Analytics Suite,Online,11678.15,7355.81,Material
2024-01-11,Europe,Germany,Cloud Platform,Online,19344.35,9816.04,Material
2024-01-11,Europe,Germany,Security Module,Online,17657.86,10408.86,Labor
2024-01-11,Europe,France,Analytics Suite,Direct,17259.57,10368.37,Material
2024-01-11,Europe,France,Cloud Platform,Direct,18758.59,11019.32,Labor
2024-01-11,Europe,France,Security Module,Online,13032.12,6967.41,Material
2024-01-11,Europe,United Kingdom,Analytics Suite,Partner,17206.04,11534.51,Labor
2024-01-11,Europe,United Kingdom,Cloud Platform,Partner,20653.86,12021.97,Material
2024-01-11,Europe,United Kingdom,Security Module,Partner,20909.48,14470.02,Material
2024-01-11,Europe,Spain,Analytics Suite,Online,15371.48,9202.99,Shipping
2024-01-11,Europe,Spain,Cloud Platform,Partner,17775.62,10572.43,Material
2024-01-11,Europe,Spain,Security Module,Direct,14307.36,8353.5,Shipping
